"PersonSize","TimePoint","ModelTorF","BRMSEA","BGammaHat","adjBGammaHat","BMc"
25,1,0,0.061467006583351,0.973871724370637,0.934491171307025,0.959954744970427
50,1,0,0.0697059269889507,0.97611438875749,0.943703923968274,0.963697289077705
75,1,0,0.0160236862000942,0.995905854552987,0.990733549542037,0.993812081340238
100,1,0,0.111229435362544,0.965534156488489,0.911963454444543,0.947777067266648
250,1,0,0.0211868788621524,0.99710105665881,0.992214093561378,0.995640492118906
500,1,0,0.0538633539404253,0.991850108820137,0.979017259897574,0.98774632903031
1000,1,0,0.00671354578189508,0.999543347038059,0.998809426337027,0.999314597330549
25,1,0.3,0.258948121870104,0.817811271030913,0.613435676508406,0.715608466998914
50,1,0.3,0.135115432812323,0.95715929215622,0.852922834681198,0.934741761503075
75,1,0.3,0.158856925660316,0.94002339039529,0.829810613629575,0.90859865254474
100,1,0.3,0.163277649757626,0.937443477052852,0.822953496185014,0.904677087568525
250,1,0.3,0.14170611224619,0.94553520174138,0.866726057147786,0.917211519899446
500,1,0.3,0.140755803839991,0.948870611533226,0.868305323070569,0.922350412211776
1000,1,0.3,0.121510085860638,0.962402638674557,0.9004929400946,0.943083786328095
