"PersonSize","TimePoint","ModelTorF","BRMSEA","BGammaHat","adjBGammaHat","BMc"
250,4,0,0.0271912534649454,0.982725328681943,0.981789075910713,0.899939013607886
250,5,0,0.0194596308282678,0.988708911060574,0.988347326734743,0.917957754121308
250,10,0,0.0274186241765768,0.956475676384665,0.956134961436448,0.50534188185946
500,4,0,0.016015766794802,0.993899529456298,0.993592219779674,0.963852289211598
500,5,0,0.0187953379614601,0.989505320347943,0.989150869033489,0.923547417837577
500,10,0,0.0069911530033508,0.997040387461043,0.997016217854936,0.956463573708962
1000,4,0,0.0177895647626302,0.992521169675483,0.992140578852867,0.955798083516265
